"bee_family","bee_tribe","globi_record_count","globi_num_sp","globi_num_genera","globi_percent_records","globi_percent_sp","globi_percent_genera","of_global_sp","of_global_gen"
"Apidae","Tetrapediini",3,2,1,0.000305504581550375,0.0361206429474445,0.275482093663912,6.66666666666667,100
"Colletidae","Reedapini",10,2,2,0.00101834860516792,0.0361206429474445,0.550964187327824,28.5714285714286,50
"Colletidae","Trichocolletini",18,2,1,0.00183302748930225,0.0361206429474445,0.275482093663912,5,100
"Megachilidae","Aspidosmiini",9,2,1,0.000916513744651124,0.0361206429474445,0.275482093663912,100,100
"Megachilidae","Neofideliini",118,2,1,0.0120165135409814,0.0361206429474445,0.275482093663912,33.3333333333333,50
"Andrenidae","Euherbstiini",52,1,1,0.00529541274687316,0.0180603214737222,0.275482093663912,33.3333333333333,50
"Andrenidae","Neffapini",48,1,1,0.00488807330480599,0.0180603214737222,0.275482093663912,100,100
"Andrenidae","Nolanomelissini",503,1,1,0.0512229348399462,0.0180603214737222,0.275482093663912,100,100
"Andrenidae","Protomeliturgini",29,1,1,0.00295321095498695,0.0180603214737222,0.275482093663912,50,100
"Apidae","Hexepeolini",8,1,1,0.000814678884134332,0.0180603214737222,0.275482093663912,100,100
"Apidae","Tarsaliini",4,1,1,0.000407339442067166,0.0180603214737222,0.275482093663912,12.5,100
"Colletidae","Anthoglossini",1,1,1,0.000101834860516792,0.0180603214737222,0.275482093663912,11.1111111111111,100
"Colletidae","Dissoglottini",12,1,1,0.0012220183262015,0.0180603214737222,0.275482093663912,7.14285714285714,33.3333333333333
"Colletidae","Hyleoidini",30,1,1,0.00305504581550375,0.0180603214737222,0.275482093663912,12.5,100
"Megachilidae","None",1,1,1,0.000101834860516792,0.0180603214737222,0.275482093663912,0.11001100110011,3.7037037037037
